experiment,timestamp,target_message_volume,message_index,input_topic,output_topic,raw_payload,normalized_payload,plaintext_bytes,policy,usk_attributes,ciphertext_bin_bytes,ciphertext_b64_bytes,mqtt_message_bytes,mqtt_compact_message_bytes,overhead_ciphertext_ratio,overhead_mqtt_ratio,overhead_mqtt_percentage,encryption_time_ms,decryption_time_ms,decrypt_success,recovered_output
exp3_message_volume_real_sensor,2026-05-24T19:53:47,120,104,sala/sensor,sala/sensor/ciphertext/exp3,"{""temp"": 24.90, ""hum"": 80.80}","{""temp"":24.9,""hum"":80.8}",24,attr1 or attr2,|attr1,732,976,1049,1044,30.5,43.7083,4270.83,78.65,74.635,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""temp"":24.9,""hum"":80.8}"
exp3_message_volume_real_sensor,2026-05-24T19:53:52,120,105,sala/sensor,sala/sensor/ciphertext/exp3,"{""temp"": 24.90, ""hum"": 80.80}","{""temp"":24.9,""hum"":80.8}",24,attr1 or attr2,|attr1,732,976,1049,1044,30.5,43.7083,4270.83,84.414,79.222,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""temp"":24.9,""hum"":80.8}"
exp3_message_volume_real_sensor,2026-05-24T19:53:57,120,106,sala/sensor,sala/sensor/ciphertext/exp3,"{""temp"": 24.90, ""hum"": 80.80}","{""temp"":24.9,""hum"":80.8}",24,attr1 or attr2,|attr1,732,976,1049,1044,30.5,43.7083,4270.83,81.5,76.283,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""temp"":24.9,""hum"":80.8}"
exp3_message_volume_real_sensor,2026-05-24T19:54:02,120,107,sala/sensor,sala/sensor/ciphertext/exp3,"{""temp"": 24.90, ""hum"": 80.80}","{""temp"":24.9,""hum"":80.8}",24,attr1 or attr2,|attr1,732,976,1049,1044,30.5,43.7083,4270.83,70.356,73.864,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""temp"":24.9,""hum"":80.8}"
exp3_message_volume_real_sensor,2026-05-24T19:54:07,120,108,sala/sensor,sala/sensor/ciphertext/exp3,"{""temp"": 24.90, ""hum"": 80.80}","{""temp"":24.9,""hum"":80.8}",24,attr1 or attr2,|attr1,732,976,1049,1044,30.5,43.7083,4270.83,79.98,83.245,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""temp"":24.9,""hum"":80.8}"
exp3_message_volume_real_sensor,2026-05-24T19:54:12,120,109,sala/sensor,sala/sensor/ciphertext/exp3,"{""temp"": 24.90, ""hum"": 80.80}","{""temp"":24.9,""hum"":80.8}",24,attr1 or attr2,|attr1,732,976,1049,1044,30.5,43.7083,4270.83,70.345,87.333,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""temp"":24.9,""hum"":80.8}"
exp3_message_volume_real_sensor,2026-05-24T19:54:17,120,110,sala/sensor,sala/sensor/ciphertext/exp3,"{""temp"": 24.90, ""hum"": 80.80}","{""temp"":24.9,""hum"":80.8}",24,attr1 or attr2,|attr1,732,976,1049,1044,30.5,43.7083,4270.83,68.721,83.149,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""temp"":24.9,""hum"":80.8}"
exp3_message_volume_real_sensor,2026-05-24T19:54:22,120,111,sala/sensor,sala/sensor/ciphertext/exp3,"{""temp"": 24.90, ""hum"": 80.70}","{""temp"":24.9,""hum"":80.7}",24,attr1 or attr2,|attr1,732,976,1049,1044,30.5,43.7083,4270.83,75.707,79.508,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""temp"":24.9,""hum"":80.7}"
exp3_message_volume_real_sensor,2026-05-24T19:54:27,120,112,sala/sensor,sala/sensor/ciphertext/exp3,"{""temp"": 24.90, ""hum"": 80.70}","{""temp"":24.9,""hum"":80.7}",24,attr1 or attr2,|attr1,732,976,1049,1044,30.5,43.7083,4270.83,68.792,79.018,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""temp"":24.9,""hum"":80.7}"
exp3_message_volume_real_sensor,2026-05-24T19:54:32,120,113,sala/sensor,sala/sensor/ciphertext/exp3,"{""temp"": 24.90, ""hum"": 80.70}","{""temp"":24.9,""hum"":80.7}",24,attr1 or attr2,|attr1,732,976,1049,1044,30.5,43.7083,4270.83,72.426,72.738,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""temp"":24.9,""hum"":80.7}"
exp3_message_volume_real_sensor,2026-05-24T19:54:37,120,114,sala/sensor,sala/sensor/ciphertext/exp3,"{""temp"": 24.90, ""hum"": 80.70}","{""temp"":24.9,""hum"":80.7}",24,attr1 or attr2,|attr1,732,976,1049,1044,30.5,43.7083,4270.83,69.455,83.906,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""temp"":24.9,""hum"":80.7}"
exp3_message_volume_real_sensor,2026-05-24T19:54:42,120,115,sala/sensor,sala/sensor/ciphertext/exp3,"{""temp"": 24.90, ""hum"": 80.80}","{""temp"":24.9,""hum"":80.8}",24,attr1 or attr2,|attr1,732,976,1049,1044,30.5,43.7083,4270.83,74.589,80.254,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""temp"":24.9,""hum"":80.8}"
exp3_message_volume_real_sensor,2026-05-24T19:54:47,120,116,sala/sensor,sala/sensor/ciphertext/exp3,"{""temp"": 24.90, ""hum"": 81.00}","{""temp"":24.9,""hum"":81.0}",24,attr1 or attr2,|attr1,732,976,1049,1044,30.5,43.7083,4270.83,76.89,77.758,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""temp"":24.9,""hum"":81.0}"
exp3_message_volume_real_sensor,2026-05-24T19:54:52,120,117,sala/sensor,sala/sensor/ciphertext/exp3,"{""temp"": 24.90, ""hum"": 81.20}","{""temp"":24.9,""hum"":81.2}",24,attr1 or attr2,|attr1,732,976,1049,1044,30.5,43.7083,4270.83,62.071,86.566,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""temp"":24.9,""hum"":81.2}"
exp3_message_volume_real_sensor,2026-05-24T19:54:57,120,118,sala/sensor,sala/sensor/ciphertext/exp3,"{""temp"": 24.90, ""hum"": 81.30}","{""temp"":24.9,""hum"":81.3}",24,attr1 or attr2,|attr1,732,976,1049,1044,30.5,43.7083,4270.83,61.726,70.489,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""temp"":24.9,""hum"":81.3}"
exp3_message_volume_real_sensor,2026-05-24T19:55:02,120,119,sala/sensor,sala/sensor/ciphertext/exp3,"{""temp"": 24.90, ""hum"": 81.30}","{""temp"":24.9,""hum"":81.3}",24,attr1 or attr2,|attr1,732,976,1049,1044,30.5,43.7083,4270.83,91.525,72.7,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""temp"":24.9,""hum"":81.3}"
exp3_message_volume_real_sensor,2026-05-24T19:55:07,120,120,sala/sensor,sala/sensor/ciphertext/exp3,"{""temp"": 24.90, ""hum"": 81.30}","{""temp"":24.9,""hum"":81.3}",24,attr1 or attr2,|attr1,732,976,1049,1044,30.5,43.7083,4270.83,74.794,73.42,True,"[decrypt] attempting to decrypt ciphertext | [decrypt] recovered message: {""temp"":24.9,""hum"":81.3}"
